acquisition_id,customer_id,acquisition_timestamp,channel,platform,touch_type
1,1,2025-12-26,search,mobile,first_touch
2,2,2026-03-07,referral,mobile,first_touch
3,3,2026-01-01,paid_social,mobile,first_touch
4,4,2026-02-27,paid_social,mobile,first_touch
5,5,2025-12-24,search,web,first_touch
6,6,2026-03-12,search,web,first_touch
7,7,2026-01-18,search,mobile,first_touch
8,8,2026-03-19,search,mobile,first_touch
9,9,2026-02-02,referral,mobile,first_touch
10,10,2026-02-11,paid_social,mobile,first_touch
11,11,2026-02-07,search,mobile,first_touch
12,12,2026-03-03,referral,mobile,first_touch
13,13,2026-01-10,search,web,first_touch
14,14,2026-02-10,search,mobile,first_touch
15,15,2026-01-18,paid_social,web,first_touch
16,16,2026-03-07,paid_social,mobile,first_touch
17,17,2026-03-11,search,mobile,first_touch
18,18,2026-02-12,search,mobile,first_touch
19,19,2026-02-17,search,mobile,first_touch
20,20,2026-03-04,search,mobile,first_touch
21,21,2026-01-29,referral,mobile,first_touch
22,22,2026-01-15,referral,web,first_touch
23,23,2026-03-19,paid_social,mobile,first_touch
24,24,2026-02-23,paid_social,mobile,first_touch
25,25,2025-12-24,referral,mobile,first_touch
26,26,2026-02-16,paid_social,mobile,first_touch
27,27,2026-02-04,paid_social,web,first_touch
28,28,2026-01-17,paid_social,mobile,first_touch
29,29,2026-03-08,search,mobile,first_touch
30,30,2026-02-25,paid_social,web,first_touch
31,31,2026-02-07,paid_social,mobile,first_touch
32,32,2026-01-27,search,mobile,first_touch
33,33,2026-01-13,referral,web,first_touch
34,34,2026-02-20,paid_social,web,first_touch
35,35,2026-03-11,search,web,first_touch
36,36,2026-02-19,search,mobile,first_touch
37,37,2025-12-26,search,mobile,first_touch
38,38,2026-02-26,search,mobile,first_touch
39,39,2026-02-05,paid_social,mobile,first_touch
40,40,2026-02-23,paid_social,web,first_touch
41,41,2026-01-26,referral,mobile,first_touch
42,42,2026-01-30,paid_social,mobile,first_touch
43,43,2026-02-03,referral,mobile,first_touch
44,44,2026-02-20,paid_social,mobile,first_touch
45,45,2026-03-13,search,mobile,first_touch
46,46,2026-03-19,search,mobile,first_touch
47,47,2026-01-09,referral,web,first_touch
48,48,2025-12-29,paid_social,mobile,first_touch
49,49,2026-03-10,paid_social,mobile,first_touch
50,50,2026-03-08,search,mobile,first_touch
51,51,2026-01-17,paid_social,mobile,first_touch
52,52,2026-01-03,search,mobile,first_touch
53,53,2026-01-07,referral,mobile,first_touch
54,54,2026-02-03,paid_social,web,first_touch
55,55,2026-01-19,referral,mobile,first_touch
56,56,2026-01-10,paid_social,mobile,first_touch
57,57,2026-03-07,referral,mobile,first_touch
58,58,2026-03-07,referral,mobile,first_touch
59,59,2026-02-08,search,web,first_touch
60,60,2025-12-28,referral,mobile,first_touch
61,61,2026-01-04,referral,mobile,first_touch
62,62,2026-02-27,paid_social,web,first_touch
63,63,2026-01-28,paid_social,mobile,first_touch
64,64,2026-01-28,paid_social,mobile,first_touch
65,65,2026-03-06,search,web,first_touch
66,66,2026-01-19,search,mobile,first_touch
67,67,2026-03-26,search,mobile,first_touch
68,68,2026-03-18,search,mobile,first_touch
69,69,2026-02-16,search,mobile,first_touch
70,70,2026-01-23,paid_social,mobile,first_touch
71,71,2026-03-23,paid_social,web,first_touch
72,72,2026-01-15,referral,mobile,first_touch
73,73,2026-03-12,paid_social,web,first_touch
74,74,2026-02-01,paid_social,mobile,first_touch
75,75,2026-03-11,paid_social,mobile,first_touch
76,76,2026-01-21,referral,web,first_touch
77,77,2026-03-01,paid_social,mobile,first_touch
78,78,2026-02-25,search,mobile,first_touch
79,79,2026-01-25,paid_social,mobile,first_touch
80,80,2025-12-30,paid_social,mobile,first_touch
81,81,2026-01-17,search,mobile,first_touch
82,82,2026-02-23,search,mobile,first_touch
83,83,2026-03-05,search,mobile,first_touch
84,84,2026-02-02,paid_social,mobile,first_touch
85,85,2026-03-15,referral,mobile,first_touch
86,86,2026-03-07,search,mobile,first_touch
87,87,2026-01-02,referral,web,first_touch
88,88,2026-01-27,paid_social,web,first_touch
89,89,2026-02-08,search,mobile,first_touch
90,90,2025-12-25,paid_social,mobile,first_touch
91,91,2026-01-15,referral,mobile,first_touch
92,92,2026-03-04,search,mobile,first_touch
93,93,2026-03-13,search,web,first_touch
94,94,2026-01-07,paid_social,mobile,first_touch
95,95,2026-02-14,paid_social,web,first_touch
96,96,2026-02-03,paid_social,web,first_touch
97,97,2026-03-09,referral,web,first_touch
98,98,2026-03-06,paid_social,mobile,first_touch
99,99,2026-03-23,paid_social,mobile,first_touch
100,100,2026-03-18,search,web,first_touch
101,101,2026-02-26,paid_social,web,first_touch
102,102,2026-01-14,referral,mobile,first_touch
103,103,2026-01-19,paid_social,mobile,first_touch
104,104,2026-03-13,referral,mobile,first_touch
105,105,2026-02-25,search,mobile,first_touch
106,106,2026-03-03,search,mobile,first_touch
107,107,2026-01-17,search,mobile,first_touch
108,108,2026-03-18,search,web,first_touch
109,109,2026-01-07,search,web,first_touch
110,110,2026-03-06,paid_social,mobile,first_touch
111,111,2026-01-23,referral,web,first_touch
112,112,2026-01-05,search,web,first_touch
113,113,2026-03-10,search,mobile,first_touch
114,114,2026-03-16,search,web,first_touch
115,115,2026-03-19,search,mobile,first_touch
116,116,2025-12-24,search,web,first_touch
117,117,2026-02-05,search,mobile,first_touch
118,118,2026-01-25,paid_social,web,first_touch
119,119,2026-01-22,search,mobile,first_touch
120,120,2026-02-01,paid_social,mobile,first_touch
121,121,2025-12-27,referral,mobile,first_touch
122,122,2026-02-07,paid_social,mobile,first_touch
123,123,2025-12-28,referral,web,first_touch
124,124,2026-01-13,search,mobile,first_touch
125,125,2026-02-28,referral,mobile,first_touch
126,126,2026-01-08,referral,web,first_touch
127,127,2026-02-20,paid_social,mobile,first_touch
128,128,2026-03-10,search,web,first_touch
129,129,2026-03-24,paid_social,mobile,first_touch
130,130,2026-02-23,paid_social,mobile,first_touch
131,131,2026-03-13,search,mobile,first_touch
132,132,2026-02-03,search,web,first_touch
133,133,2026-03-14,referral,web,first_touch
134,134,2026-03-07,paid_social,web,first_touch
