customer_id,signup_date,experiment_variant
1,2026-01-01,treatment
2,2026-03-16,control
3,2026-01-11,treatment
4,2026-03-08,treatment
5,2026-01-02,control
6,2026-03-19,treatment
7,2026-01-23,treatment
8,2026-03-27,treatment
9,2026-02-12,control
10,2026-02-20,control
11,2026-02-12,control
12,2026-03-09,treatment
13,2026-01-20,treatment
14,2026-02-14,treatment
15,2026-01-23,control
16,2026-03-12,control
17,2026-03-19,treatment
18,2026-02-18,control
19,2026-02-26,treatment
20,2026-03-08,treatment
21,2026-02-06,treatment
22,2026-01-25,control
23,2026-03-27,treatment
24,2026-03-03,treatment
25,2026-01-03,treatment
26,2026-02-22,control
27,2026-02-10,control
28,2026-01-23,control
29,2026-03-13,control
30,2026-03-03,treatment
31,2026-02-11,treatment
32,2026-02-03,treatment
33,2026-01-21,control
34,2026-02-26,control
35,2026-03-18,control
36,2026-03-01,control
37,2026-01-01,control
38,2026-03-02,control
39,2026-02-09,control
40,2026-03-03,treatment
41,2026-02-04,control
42,2026-02-07,treatment
43,2026-02-10,treatment
44,2026-02-26,control
45,2026-03-17,treatment
46,2026-03-23,treatment
47,2026-01-16,control
48,2026-01-07,control
49,2026-03-16,treatment
50,2026-03-12,control
51,2026-01-26,control
52,2026-01-12,control
53,2026-01-12,treatment
54,2026-02-11,treatment
55,2026-01-26,treatment
56,2026-01-15,treatment
57,2026-03-15,control
58,2026-03-12,treatment
59,2026-02-17,control
60,2026-01-04,control
61,2026-01-13,treatment
62,2026-03-05,control
63,2026-02-03,treatment
64,2026-02-06,treatment
65,2026-03-15,treatment
66,2026-01-24,treatment
67,2026-03-30,treatment
68,2026-03-28,control
69,2026-02-23,control
70,2026-01-27,control
71,2026-03-30,control
72,2026-01-20,control
73,2026-03-19,treatment
74,2026-02-08,control
75,2026-03-19,control
76,2026-01-28,control
77,2026-03-06,control
78,2026-03-07,treatment
79,2026-02-03,treatment
80,2026-01-03,treatment
81,2026-01-27,treatment
82,2026-03-04,control
83,2026-03-13,treatment
84,2026-02-07,control
85,2026-03-22,control
86,2026-03-12,control
87,2026-01-10,treatment
88,2026-01-31,control
89,2026-02-17,control
90,2026-01-02,treatment
91,2026-01-25,control
92,2026-03-10,treatment
93,2026-03-18,control
94,2026-01-12,control
95,2026-02-23,control
96,2026-02-12,treatment
97,2026-03-18,control
98,2026-03-16,control
99,2026-03-27,control
100,2026-03-25,treatment
101,2026-03-08,treatment
102,2026-01-23,treatment
103,2026-01-23,control
104,2026-03-17,treatment
105,2026-03-04,treatment
106,2026-03-11,treatment
107,2026-01-26,control
108,2026-03-25,control
109,2026-01-16,control
110,2026-03-15,treatment
111,2026-01-31,control
112,2026-01-09,control
113,2026-03-15,control
114,2026-03-26,treatment
115,2026-03-29,control
116,2026-01-03,treatment
117,2026-02-10,treatment
118,2026-01-31,treatment
119,2026-01-31,control
120,2026-02-05,treatment
121,2026-01-02,treatment
122,2026-02-13,treatment
123,2026-01-07,control
124,2026-01-22,control
125,2026-03-06,control
126,2026-01-12,control
127,2026-03-02,control
128,2026-03-17,control
129,2026-03-30,control
130,2026-02-27,treatment
131,2026-03-21,control
132,2026-02-12,treatment
133,2026-03-23,treatment
134,2026-03-11,control
135,2026-03-24,treatment
136,2026-03-24,control
137,2026-03-04,treatment
138,2026-01-21,control
139,2026-01-05,treatment
140,2026-01-30,control
141,2026-01-27,control
142,2026-03-26,control
143,2026-01-04,treatment
144,2026-02-18,treatment
145,2026-03-30,control
146,2026-01-26,control
147,2026-02-22,control
148,2026-01-15,treatment
149,2026-02-07,control
150,2026-03-30,control
151,2026-03-02,treatment
152,2026-02-18,treatment
153,2026-03-29,control
154,2026-03-19,treatment
155,2026-01-25,control
156,2026-02-27,treatment
157,2026-02-28,control
158,2026-02-09,treatment
159,2026-01-17,treatment
160,2026-03-19,treatment
161,2026-01-15,control
162,2026-02-02,treatment
163,2026-01-23,control
164,2026-03-11,control
165,2026-01-09,treatment
166,2026-02-10,control
167,2026-03-17,treatment
168,2026-03-22,treatment
169,2026-01-19,control
170,2026-02-15,treatment
171,2026-02-13,control
172,2026-01-30,treatment
173,2026-03-14,control
174,2026-03-07,treatment
175,2026-01-08,control
176,2026-03-19,control
177,2026-02-02,control
178,2026-03-18,treatment
179,2026-03-10,treatment
180,2026-02-13,treatment
181,2026-03-02,treatment
182,2026-02-09,treatment
183,2026-03-12,treatment
184,2026-01-14,control
185,2026-02-24,treatment
186,2026-01-04,treatment
187,2026-03-06,control
188,2026-03-25,control
189,2026-03-10,treatment
190,2026-03-07,control
191,2026-03-15,treatment
192,2026-02-21,control
193,2026-02-25,control
194,2026-02-22,treatment
195,2026-02-12,control
196,2026-01-03,control
197,2026-01-08,treatment
198,2026-02-10,treatment
199,2026-01-25,control
200,2026-03-24,control
201,2026-03-30,treatment
202,2026-02-11,treatment
203,2026-03-04,treatment
204,2026-02-22,control
205,2026-01-23,control
206,2026-02-03,control
207,2026-02-04,control
208,2026-01-10,treatment
209,2026-01-02,control
210,2026-01-30,treatment
211,2026-03-23,treatment
212,2026-01-08,treatment
213,2026-02-16,control
214,2026-02-22,treatment
215,2026-03-01,treatment
216,2026-03-30,treatment
217,2026-02-05,control
218,2026-02-02,control
219,2026-02-15,treatment
220,2026-03-19,control
221,2026-02-22,control
222,2026-01-04,control
223,2026-02-10,treatment
224,2026-02-15,treatment
225,2026-03-21,control
226,2026-02-28,treatment
227,2026-03-03,control
228,2026-01-29,treatment
229,2026-03-07,treatment
230,2026-01-09,control
231,2026-01-18,control
232,2026-01-20,control
233,2026-02-12,treatment
234,2026-01-07,treatment
235,2026-02-16,treatment
236,2026-03-21,treatment
237,2026-02-05,control
238,2026-01-01,treatment
239,2026-01-25,control
240,2026-01-07,control
241,2026-02-27,treatment
242,2026-03-13,treatment
243,2026-01-26,control
244,2026-01-27,treatment
245,2026-01-29,treatment
246,2026-02-02,treatment
247,2026-03-04,treatment
248,2026-01-28,control
249,2026-02-04,control
250,2026-03-22,control
251,2026-03-10,treatment
252,2026-03-25,treatment
253,2026-02-02,control
254,2026-03-25,control
255,2026-01-27,control
256,2026-01-28,treatment
257,2026-03-27,treatment
258,2026-01-19,control
259,2026-03-15,control
260,2026-03-16,treatment
261,2026-03-25,control
262,2026-03-18,treatment
263,2026-03-16,control
264,2026-02-01,control
265,2026-02-20,treatment
266,2026-02-22,control
267,2026-01-27,control
268,2026-02-05,control
269,2026-03-18,control
270,2026-01-02,control
271,2026-01-07,control
272,2026-02-06,control
273,2026-03-11,control
274,2026-03-22,treatment
275,2026-03-03,treatment
276,2026-03-19,control
277,2026-01-14,control
278,2026-01-10,treatment
279,2026-02-15,treatment
280,2026-01-28,treatment
281,2026-03-21,control
282,2026-01-07,control
283,2026-02-02,control
284,2026-01-27,control
285,2026-02-23,treatment
286,2026-01-27,control
287,2026-03-26,control
288,2026-01-05,control
289,2026-01-07,treatment
290,2026-03-22,control
291,2026-02-17,treatment
292,2026-03-17,control
293,2026-02-11,treatment
294,2026-03-25,control
295,2026-02-12,treatment
296,2026-03-08,treatment
297,2026-03-31,treatment
298,2026-03-10,treatment
299,2026-01-24,treatment
300,2026-03-12,treatment
301,2026-02-04,treatment
302,2026-03-02,control
303,2026-03-01,treatment
304,2026-01-16,treatment
305,2026-01-26,treatment
306,2026-01-16,control
307,2026-01-07,control
308,2026-02-15,treatment
309,2026-01-19,control
310,2026-03-04,control
